Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
2773: This is a ship. Speed: 46, distance to destination: 873.000000, time to distance: 18.978261, ship type: tanker, displacement: 9148
2774: This is a ship. Speed: 173, distance to destination: 1897.000000, time to distance: 10.965318, ship type: tanker, displacement: 10790
2775: This is a plane. Speed: 182, distance to destination: 1093.000000, time to distance: 6.005495, maximum flight distance: 2930, capacity: 179
2776: This is a plane. Speed: 98, distance to destination: 1100.000000, time to distance: 11.224490, maximum flight distance: 3991, capacity: 198
2777: This is a plane. Speed: 124, distance to destination: 1838.000000, time to distance: 14.822581, maximum flight distance: 2483, capacity: 101
2778: 2779: 2780: 2781: This is a ship. Speed: 99, distance to destination: 1818.000000, time to distance: 18.363636, ship type: tugboat, displacement: 4369
2782: This is a ship. Speed: 155, distance to destination: 1514.000000, time to distance: 9.767742, ship type: liner, displacement: 19853
2783: This is a plane. Speed: 84, distance to destination: 633.000000, time to distance: 7.535714, maximum flight distance: 3682, capacity: 180
2784: This is a ship. Speed: 176, distance to destination: 1199.000000, time to distance: 6.812500, ship type: tugboat, displacement: 4330
2785: This is a ship. Speed: 175, distance to destination: 1049.000000, time to distance: 5.994286, ship type: liner, displacement: 28045
2786: This is a plane. Speed: 47, distance to destination: 1837.000000, time to distance: 39.085106, maximum flight distance: 2462, capacity: 168
2787: This is a ship. Speed: 37, distance to destination: 1346.000000, time to distance: 36.378378, ship type: tanker, displacement: 18870
2788: This is a ship. Speed: 34, distance to destination: 1054.000000, time to distance: 31.000000, ship type: liner, displacement: 8778
2789: 2790: This is a plane. Speed: 141, distance to destination: 1102.000000, time to distance: 7.815603, maximum flight distance: 2641, capacity: 247
2791: 2792: 2793: This is a ship. Speed: 115, distance to destination: 1109.000000, time to distance: 9.643478, ship type: tugboat, displacement: 4445
2794: This is a ship. Speed: 12, distance to destination: 1663.000000, time to distance: 138.583333, ship type: liner, displacement: 21725
2795: This is a plane. Speed: 60, distance to destination: 1958.000000, time to distance: 32.633333, maximum flight distance: 2478, capacity: 250
2796: This is a plane. Speed: 159, distance to destination: 194.000000, time to distance: 1.220126, maximum flight distance: 2970, capacity: 271
2797: This is a plane. Speed: 112, distance to destination: 373.000000, time to distance: 3.330357, maximum flight distance: 2895, capacity: 200
2798: This is a plane. Speed: 178, distance to destination: 927.000000, time to distance: 5.207865, maximum flight distance: 3943, capacity: 236
2799: This is a ship. Speed: 165, distance to destination: 1068.000000, time to distance: 6.472727, ship type: liner, displacement: 23430
2800: This is a ship. Speed: 88, distance to destination: 867.000000, time to distance: 9.852273, ship type: liner, displacement: 4323
2801: 2802: This is a ship. Speed: 88, distance to destination: 1194.000000, time to distance: 13.568182, ship type: tugboat, displacement: 23203
2803: 2804: This is a plane. Speed: 12, distance to destination: 1422.000000, time to distance: 118.500000, maximum flight distance: 2877, capacity: 165
2805: This is a plane. Speed: 200, distance to destination: 1348.000000, time to distance: 6.740000, maximum flight distance: 2846, capacity: 247
2806: This is a plane. Speed: 60, distance to destination: 1488.000000, time to distance: 24.800000, maximum flight distance: 2519, capacity: 188
2807: This is a ship. Speed: 171, distance to destination: 1707.000000, time to distance: 9.982456, ship type: liner, displacement: 6433
2808: This is a plane. Speed: 163, distance to destination: 979.000000, time to distance: 6.006135, maximum flight distance: 2238, capacity: 243
2809: This is a plane. Speed: 149, distance to destination: 1358.000000, time to distance: 9.114094, maximum flight distance: 2773, capacity: 102
2810: 2811: This is a ship. Speed: 13, distance to destination: 893.000000, time to distance: 68.692308, ship type: liner, displacement: 26761
2812: 2813: This is a ship. Speed: 90, distance to destination: 221.000000, time to distance: 2.455556, ship type: tugboat, displacement: 4251
2814: This is a ship. Speed: 34, distance to destination: 398.000000, time to distance: 11.705882, ship type: liner, displacement: 6003
2815: This is a plane. Speed: 190, distance to destination: 1500.000000, time to distance: 7.894737, maximum flight distance: 3219, capacity: 184
2816: This is a ship. Speed: 104, distance to destination: 1465.000000, time to distance: 14.086538, ship type: tugboat, displacement: 13089
2817: 2818: This is a plane. Speed: 109, distance to destination: 1767.000000, time to distance: 16.211009, maximum flight distance: 2172, capacity: 269
2819: This is a ship. Speed: 34, distance to destination: 1435.000000, time to distance: 42.205882, ship type: tanker, displacement: 18187
2820: This is a ship. Speed: 55, distance to destination: 969.000000, time to distance: 17.618182, ship type: liner, displacement: 17960
2821: 2822: This is a plane. Speed: 31, distance to destination: 1451.000000, time to distance: 46.806452, maximum flight distance: 3569, capacity: 227
2823: 2824: This is a ship. Speed: 122, distance to destination: 1234.000000, time to distance: 10.114754, ship type: tugboat, displacement: 1751
2825: 2826: This is a ship. Speed: 12, distance to destination: 320.000000, time to distance: 26.666667, ship type: liner, displacement: 29854
2827: This is a ship. Speed: 50, distance to destination: 1891.000000, time to distance: 37.820000, ship type: tugboat, displacement: 33159
2828: 2829: This is a ship. Speed: 68, distance to destination: 1302.000000, time to distance: 19.147059, ship type: liner, displacement: 15123
2830: 2831: This is a plane. Speed: 60, distance to destination: 1516.000000, time to distance: 25.266667, maximum flight distance: 3879, capacity: 108
2832: This is a plane. Speed: 186, distance to destination: 17.000000, time to distance: 0.091398, maximum flight distance: 3774, capacity: 187
2833: This is a plane. Speed: 48, distance to destination: 1127.000000, time to distance: 23.479167, maximum flight distance: 3532, capacity: 184
2834: 2835: This is a ship. Speed: 103, distance to destination: 675.000000, time to distance: 6.553398, ship type: liner, displacement: 31340
2836: This is a ship. Speed: 168, distance to destination: 1291.000000, time to distance: 7.684524, ship type: liner, displacement: 25998
2837: This is a ship. Speed: 38, distance to destination: 1459.000000, time to distance: 38.394737, ship type: tugboat, displacement: 12322
2838: 2839: 2840: 2841: This is a ship. Speed: 30, distance to destination: 586.000000, time to distance: 19.533333, ship type: liner, displacement: 14710
2842: This is a ship. Speed: 162, distance to destination: 345.000000, time to distance: 2.129630, ship type: tugboat, displacement: 27546
2843: This is a plane. Speed: 28, distance to destination: 1807.000000, time to distance: 64.535714, maximum flight distance: 3207, capacity: 269
2844: This is a plane. Speed: 147, distance to destination: 331.000000, time to distance: 2.251701, maximum flight distance: 3731, capacity: 145
2845: This is a plane. Speed: 74, distance to destination: 547.000000, time to distance: 7.391892, maximum flight distance: 3601, capacity: 232
2846: This is a ship. Speed: 25, distance to destination: 1222.000000, time to distance: 48.880000, ship type: tanker, displacement: 2411
2847: This is a plane. Speed: 164, distance to destination: 1036.000000, time to distance: 6.317073, maximum flight distance: 3813, capacity: 115
2848: This is a plane. Speed: 91, distance to destination: 863.000000, time to distance: 9.483516, maximum flight distance: 2899, capacity: 211
2849: This is a ship. Speed: 171, distance to destination: 1369.000000, time to distance: 8.005848, ship type: tugboat, displacement: 33255
2850: 2851: This is a ship. Speed: 136, distance to destination: 1595.000000, time to distance: 11.727941, ship type: liner, displacement: 6910
2852: This is a ship. Speed: 162, distance to destination: 1600.000000, time to distance: 9.876543, ship type: liner, displacement: 14590
2853: 2854: This is a ship. Speed: 154, distance to destination: 260.000000, time to distance: 1.688312, ship type: tugboat, displacement: 7271
2855: This is a ship. Speed: 106, distance to destination: 1824.000000, time to distance: 17.207547, ship type: tanker, displacement: 8261
2856: 2857: This is a plane. Speed: 164, distance to destination: 787.000000, time to distance: 4.798780, maximum flight distance: 2635, capacity: 267
2858: 2859: This is a plane. Speed: 128, distance to destination: 1906.000000, time to distance: 14.890625, maximum flight distance: 2079, capacity: 103
2860: 2861: This is a ship. Speed: 113, distance to destination: 401.000000, time to distance: 3.548673, ship type: tugboat, displacement: 32887
2862: This is a ship. Speed: 113, distance to destination: 1878.000000, time to distance: 16.619469, ship type: liner, displacement: 3131
2863: This is a plane. Speed: 106, distance to destination: 1486.000000, time to distance: 14.018868, maximum flight distance: 2697, capacity: 117
2864: This is a ship. Speed: 86, distance to destination: 395.000000, time to distance: 4.593023, ship type: tanker, displacement: 15758
2865: 2866: This is a ship. Speed: 126, distance to destination: 1152.000000, time to distance: 9.142857, ship type: tanker, displacement: 28588
2867: 2868: This is a plane. Speed: 108, distance to destination: 869.000000, time to distance: 8.046296, maximum flight distance: 3246, capacity: 162
2869: 2870: This is a ship. Speed: 61, distance to destination: 480.000000, time to distance: 7.868852, ship type: liner, displacement: 30306
2871: This is a plane. Speed: 97, distance to destination: 1089.000000, time to distance: 11.226804, maximum flight distance: 3284, capacity: 126
2872: 2873: This is a plane. Speed: 3, distance to destination: 1792.000000, time to distance: 597.333333, maximum flight distance: 2747, capacity: 186
2874: This is a ship. Speed: 51, distance to destination: 650.000000, time to distance: 12.745098, ship type: liner, displacement: 5761
2875: 2876: This is a ship. Speed: 112, distance to destination: 473.000000, time to distance: 4.223214, ship type: liner, displacement: 22095
2877: This is a ship. Speed: 103, distance to destination: 407.000000, time to distance: 3.951456, ship type: tanker, displacement: 30012
2878: 2879: 2880: This is a plane. Speed: 165, distance to destination: 481.000000, time to distance: 2.915152, maximum flight distance: 2809, capacity: 184
